;Steps;VehicleNumber;WaitingTime;Ambulance Waiting time;Ambulance Speed;Police Waiting time;Police Speed;Firebrigade Waiting time;Firebrigade Speed;Vehicle number Route 1;Waiting time nRoute 1
0;0;0,142857143;0;0;0;0;0;0;0;0;0
1;1;0,285714286;0;0;0;0;0;0;0;0;0
2;2;0,285714286;0;0;0;0;0;0;0;0;0
3;3;0,571428571;0;0;0;0;0;0;0;1;0
4;4;0,571428571;0;0;0;0;0;0;0;1;0
5;5;0,571428571;0;0;0;0;0;0;0;1;0
6;6;0,714285714;0;0;0;0;0;0;0;1;0
7;7;0,857142857;0;0;0;0;0;0;0;1;0
8;8;0,857142857;0;0;0;0;0;0;0;1;0
9;9;0,857142857;0;0;0;0;0;0;0;1;0
10;10;1;0;0;0;0;0;0;0;1;0
11;11;1,142857143;0;0;0;0;0;0;0;1;0
12;12;1,285714286;0;0;0;0;0;0;0;1;0
13;13;1,428571429;0,142857143;0;0;0;0;0;0;1;0
14;14;1,571428571;0,428571429;0;0;0;0;0;0;1;0
15;15;1,714285714;0,857142857;0;0;0;0;0;0;1;0
16;16;2;1;0;0;0;0;0;0;1;0
17;17;2,142857143;1,571428571;0;0;0;0;0;0;1;1
18;18;2,142857143;2,142857143;0;0;0;0;0;0;1;2
19;19;2,285714286;2,714285714;0;0;0;0;0;0;1;3
20;20;2,428571429;3,285714286;0;0;0;0;0;0;1;4
21;21;2,571428571;4;0;0;0;0;0;0;1;5
22;22;2,571428571;4,857142857;0;0;0;0;0;0;1;6
23;23;2,857142857;5,714285714;0;0;0;0;0;0;1;7
24;24;2,857142857;6,571428571;0;0;0;0;0;0;2;8
25;25;2,857142857;7,428571429;0;0;0;0;0;0;2;9
26;26;3;8,428571429;0;0;0;0;0;0;2;10
27;27;3,142857143;9,428571429;0;0;0;0;0;0;2;11
28;28;3,285714286;10,71428571;0;0;0;0;0;0;2;12
29;29;3,285714286;12;0;0;0;0;0;0;2;13
30;30;3,428571429;13,28571429;0;0;0;0;0;0;2;14
31;31;3,285714286;14,85714286;0;0;0;0;0;0;2;15
32;32;3,571428571;16,42857143;0;0;0;0;0;0;2;16
33;33;3,428571429;18,14285714;0;0;0;0;0;0;2;17
34;34;3,714285714;19,85714286;0;0;0;0;0;0;2;18
35;35;3,857142857;21,57142857;0;0;0;0;0;0;2;19
36;36;4;23,42857143;0;0;0;0;0;0;2;21
37;37;4,285714286;25,42857143;0;0;0;0;0;0;2;23
38;38;4,571428571;27,57142857;0;0;0;0;0;0;2;25
39;39;4,571428571;29,85714286;0;0;0;0;0;0;2;27
40;40;4,857142857;32,28571429;0;0;0;0;0;0;2;29
41;41;4,857142857;34,85714286;0;0;0;0;0;0;2;31
42;42;4,714285714;37,57142857;0;0;0;0;0;0;2;33
43;43;5;40,28571429;0;0;0;0;0;0;2;35
44;44;5;43;0;0;0;0;0;0;2;37
45;45;5,142857143;45,85714286;0;0;0;0;0;0;3;39
46;46;5;48,85714286;0;0;0;0;0;0;3;41
47;47;5;52,42857143;0;0;0;0;0;0;3;43
48;48;5;56;0;0;0;0;0;0;4;45
49;49;5;59,85714286;0;0;0;0;0;0;4;47
50;50;5,142857143;63,85714286;0;0;0;0;0;0;5;49
51;51;5,142857143;67,85714286;0;0;0;0;0;0;5;51
52;52;5,285714286;72;0;0;0;0;0;0;5;53
53;53;5,142857143;76,28571429;0;0;0;0;0;0;5;55
54;54;5,285714286;80,57142857;0;0;0;0;0;0;5;57
55;55;5,285714286;84,85714286;0;0;0;0;0;0;5;59
56;56;5,428571429;89,14285714;0;0;0;0;0;0;5;61
57;57;5,714285714;93,42857143;0;0;0;0;0;0;5;63
58;58;5,714285714;97,85714286;0;0;0;0;0;0;5;66
59;59;6;102,2857143;0;0;0;0;0;0;5;69
60;60;6,285714286;107;0;0;0;0;0;0;5;73
61;61;6,428571429;111,7142857;0;0;0;0;0;0;5;77
62;62;6,714285714;116,7142857;0;0;0;0;0;0;5;81
63;63;6,714285714;122;0;0;0;0;0;0;5;86
64;64;6,857142857;127;0;0;0;0;0;0;5;91
65;65;6,428571429;112,5714286;0;0;0;0;0;0;5;96
66;66;6,571428571;100,1428571;0;0;0;0;0;0;5;101
67;67;6,714285714;92,42857143;0;0;0;0;0;0;5;106
68;68;6,428571429;85,85714286;0;0;0;0;0;0;5;111
69;69;6,428571429;82,57142857;0;0;0;0;0;0;5;116
70;70;6,285714286;82,14285714;0;0;0;0;0;0;5;121
71;71;6,285714286;83,14285714;0;0;0;0;0;0;5;126
72;72;6,428571429;84,28571429;0;0;0;0;0;0;6;131
73;73;6,285714286;86,28571429;0;0;0;0;0;0;6;136
74;74;6,285714286;88,42857143;0;0;0;0;0;0;6;141
75;75;6,428571429;91,28571429;0;0;0;0;0;0;7;146
76;76;6,571428571;93,57142857;0;0;0;0;0;0;7;151
77;77;6,285714286;96;0;0;0;0;0;0;8;156
78;78;6,428571429;98,85714286;0;0;0;0;0;0;8;161
79;79;6,285714286;101,7142857;0;0;0;0;0;0;9;166
80;80;6,285714286;104,5714286;0;0;0;0;0;0;9;171
81;81;5,714285714;63,57142857;0;0;0;0;0;0;7;87
82;82;5,714285714;34,14285714;0;0;0;0;0;0;7;20
83;83;5,714285714;17,42857143;0;0;0;0;0;0;7;0
84;84;5,428571429;5,285714286;0;0;0;0;0;0;6;0
85;85;5,428571429;2,428571429;0;0;0;0;0;0;5;0
86;86;5,285714286;2,142857143;0;0;0;0;0;0;6;0
87;87;5,428571429;3;0;0;0;0;0;0;6;0
88;88;5,142857143;4;0;0;0;0;0;0;4;0
89;89;5,571428571;5,571428571;0;0;0;0;0;0;5;0
90;90;5,571428571;7,142857143;0;0;0;0;0;0;5;0
91;91;5,714285714;8,857142857;0;0;0;0;0;0;4;0
92;92;5,428571429;11;0;0;0;0;0;0;3;0
93;93;5,571428571;13,28571429;0;0;0;0;0;0;3;0
94;94;5,714285714;15,42857143;0;0;0;0;0;0;4;0
95;95;5,714285714;18;0;0;0;0;0;0;3;0
96;96;5,428571429;20,85714286;0;0;0;0;0;0;3;0
97;97;5,285714286;18,28571429;0;0;0;0;0;0;3;0
98;98;5,142857143;18,71428571;0;0;0;0;0;0;3;0
99;99;5,285714286;20,71428571;0;0;0;0;0;0;3;0
100;100;5,428571429;22,14285714;0;0;0;0;0;0;4;0
101;101;5,571428571;24;0;2,568619226;0;0;0;0;4;1
102;102;5,571428571;25,85714286;0;4,693899691;0;0;0;0;4;2
103;103;5,571428571;27,42857143;0;7,176357053;0;0;0;0;4;3
104;104;5,428571429;29,28571429;0;9,206781164;0;0;0;0;5;4
105;105;5,571428571;31,42857143;0;10,59738239;0;0;0;0;5;6
106;106;5,571428571;34,57142857;0;11,94722962;0;0;0;0;5;8
107;107;5,285714286;37,85714286;0;10,58866648;0;0;0;0;5;10
108;108;5,142857143;41,28571429;0;7,074228176;0;0;0;0;5;13
109;109;5;44,85714286;0;3,003751884;0;0;0;0;5;16
110;110;5;48,71428571;0;0,338778307;0;0;0;0;5;19
111;111;5,142857143;52,85714286;1;0,000626651;0;0;0;0;5;23
112;112;5,142857143;57;2;0,000352586;0;0;0;0;5;27
113;113;4,857142857;54;0;2,600352586;0;0;0;0;3;6
114;114;5;53,71428571;0;4,573450862;0;0;0;0;3;0
115;115;5,142857143;54;0;5,56;0;0;0;0;3;0
116;116;5;54,42857143;0;7,384713991;0;0;0;0;1;0
117;117;5,142857143;55,85714286;0;8,039590291;0;0;0;0;1;0
118;118;5,285714286;57,28571429;0;9,943976021;0;0;0;0;1;0
119;119;5,285714286;59,57142857;0;11,45861006;0;0;0;0;0;0
120;120;5,428571429;61,85714286;0;10,25978783;0;0;0;0;0;0
121;121;5,285714286;64,28571429;0;7,126595944;0;0;0;0;0;0
122;122;5,571428571;67;0;6,082198648;0;0;0;0;0;0
123;123;5,428571429;69,71428571;0;5,56;0;0;0;0;0;0
124;124;5,571428571;72,42857143;0;7,777084397;0;0;0;0;0;0
125;125;5,428571429;75,28571429;0;9,251963596;0;0;0;0;0;0
126;126;5,428571429;78,42857143;0;9,717978567;0;0;0;0;0;0
127;127;5,714285714;81,57142857;0;8,499366424;0;0;0;0;0;0
128;128;5,714285714;84,85714286;0;10,30032045;0;0;0;0;0;0
129;129;5,571428571;88,28571429;0;11,69659042;0;0;0;0;0;0
130;130;5,714285714;91,85714286;0;13,25772923;0;0;0;0;0;0
131;131;5,857142857;95,57142857;0;13,880994;0;0;0;0;0;0
132;132;5,714285714;99,42857143;0;13,34350735;0;0;0;0;0;0
133;133;5,857142857;103,2857143;0;13,75480893;0;0;0;0;0;0
134;134;5,857142857;107,2857143;0;13,31970236;0;0;0;0;0;0
135;135;6;111,4285714;0;13,85586262;0;0;0;0;0;0
136;136;6,285714286;115,5714286;0;0;0;0;0;0;0;0
137;137;6,142857143;120;0;0;0;0;0;0;0;0
138;138;6,285714286;124,1428571;0;0;0;0;0;0;0;0
139;139;6,142857143;128,7142857;0;0;0;0;0;0;0;0
140;140;6,285714286;133,4285714;0;0;0;0;0;0;0;0
141;141;6,428571429;138,1428571;0;0;0;0;0;0;0;0
142;142;6,571428571;143;0;0;0;0;0;0;0;0
143;143;6,714285714;148,2857143;0;0;0;0;0;0;0;0
144;144;7;153,5714286;0;0;0;0;0;0;0;0
145;145;7;154,7142857;0;0;0;0;0;0;0;0
146;146;7,142857143;156,4285714;0;0;0;0;0;0;0;0
147;147;7,285714286;158,5714286;0;0;0;0;0;0;1;0
148;148;7,571428571;160,8571429;0;0;0;0;0;0;1;0
149;149;7,714285714;163,2857143;0;0;0;0;0;0;1;0
150;150;7,571428571;165,7142857;0;0;0;0;0;0;1;0
151;151;7,714285714;168,4285714;0;0;0;0;0;0;1;0
152;152;7,857142857;171,5714286;0;0;0;0;0;0;1;0
153;153;7,857142857;174,7142857;0;0;0;0;0;0;1;0
154;154;8,142857143;179,8571429;0;0;0;0;0;0;1;0
155;155;8,428571429;185;0;0;0;0;0;0;2;0
156;156;8,142857143;190,2857143;0;0;0;0;0;0;2;0
157;157;8,285714286;195,5714286;0;0;0;0;0;0;2;0
158;158;8,571428571;201,2857143;0;0;0;0;0;0;3;0
159;159;8,428571429;207,2857143;0;0;0;0;0;0;3;0
160;160;8,571428571;213,5714286;0;0;0;0;0;0;3;1
161;161;8;191,7142857;0;0;0;0;0;0;3;2
162;162;8,428571429;170,1428571;0;0;0;0;0;0;4;3
163;163;8,571428571;149;0;0;0;0;0;0;4;4
164;164;8,285714286;130,8571429;0;0;0;0;0;0;4;5
165;165;8,571428571;114,4285714;0;0;0;0;0;0;5;6
166;166;8,142857143;99;0;0;0;0;0;0;5;7
167;167;8,142857143;86,14285714;0;0;0;0;0;0;6;8
168;168;8,428571429;74;0;0;0;0;0;0;7;9
169;169;8,285714286;70;0;0;0;0;0;0;7;11
170;170;8,428571429;64,71428571;0;0;0;0;0;0;8;13
171;171;8,571428571;61;0;0;0;0;0;0;8;15
172;172;8,428571429;64;0;0;0;0;0;0;8;18
173;173;8,857142857;67,42857143;0;0;0;0;0;0;8;21
174;174;8,571428571;67,57142857;0;0;0;0;0;0;9;24
175;175;8,714285714;71,71428571;0;0;0;0;0;0;9;27
176;176;9;76,28571429;0;0;0;0;0;0;9;30
177;177;8,571428571;72,57142857;0;0;0;0;0;0;8;7
178;178;8,714285714;72,28571429;0;0;0;0;0;0;8;3
179;179;8,857142857;73,85714286;0;0;0;0;0;0;8;1
180;180;8,428571429;76;0;0;0;0;0;0;6;1
181;181;8,714285714;80,85714286;0;0;0;0;0;0;6;0
182;182;8,714285714;85,85714286;0;0;0;0;0;0;6;0
183;183;8,571428571;91,42857143;0;0;0;0;0;0;4;0
184;184;8,857142857;96,85714286;0;0;0;0;0;0;4;0
185;185;8,857142857;102,5714286;0;0;0;0;0;0;3;0
186;186;8,571428571;108,2857143;0;0;0;0;0;0;2;0
187;187;8,571428571;114,2857143;0;0;0;0;0;0;1;0
188;188;8,428571429;107,5714286;0;0;0;0;0;0;1;0
189;189;8,142857143;106;0;0;0;0;0;0;1;0
190;190;7,857142857;95,57142857;0;0;0;0;0;0;0;0
191;191;7,857142857;88,42857143;0;0;0;0;0;0;0;0
192;192;7,857142857;83,42857143;0;0;0;0;0;0;0;0
193;193;7,571428571;72,85714286;0;0;0;0;0;0;0;0
194;194;7,714285714;67;0;0;0;0;0;0;0;0
195;195;7,857142857;61,14285714;0;0;0;0;0;0;0;0
196;196;7,857142857;60,28571429;0;0;0;0;0;0;0;0
197;197;8;55,85714286;0;0;0;0;0;0;0;0
198;198;8;56,42857143;0;0;0;0;0;0;0;0
199;199;8,285714286;57,85714286;0;0;0;0;0;0;0;0
200;200;8;58,28571429;0;0;0;0;0;0;0;0
201;201;8;58,85714286;0;0;0;0;0;0;0;0
202;202;8;60,42857143;0;0;0;0;0;0;1;0
203;203;7,857142857;62,28571429;0;0;0;0;0;0;1;0
204;204;7,857142857;67,42857143;0;0;0;0;0;0;1;0
205;205;8;68,14285714;0;0;0;0;0;0;1;0
206;206;7,857142857;68,42857143;0;0;0;0;0;0;1;0
207;207;8;68,71428571;0;0;0;0;0;0;1;0
208;208;8;69;0;0;0;0;0;0;1;0
209;209;7,857142857;63,57142857;0;0;0;0;0;0;1;0
210;210;7,714285714;59,71428571;0;0;0;0;0;0;1;0
211;211;7,714285714;57,14285714;0;0;0;0;0;0;1;0
212;212;7,428571429;55,71428571;0;0;0;0;0;0;0;0
213;213;7,285714286;55,71428571;0;0;0;0;0;0;0;0
214;214;7,428571429;56;0;0;0;0;0;0;1;0
215;215;7,285714286;54,28571429;0;0;0;0;0;0;1;0
216;216;7,428571429;55,28571429;0;0;0;0;0;0;1;0
217;217;7,142857143;57,28571429;0;0;0;0;0;0;1;0
218;218;7,142857143;59,71428571;0;0;0;0;0;0;1;0
219;219;7,285714286;62,28571429;0;0;0;0;0;0;1;0
220;220;7,142857143;65,42857143;0;0;0;0;0;0;1;0
221;221;7,142857143;69,42857143;0;0;0;0;0;0;1;0
222;222;7,285714286;73,71428571;0;0;0;0;0;0;1;0
223;223;7;77,42857143;0;0;0;0;0;0;0;0
224;224;7;81,71428571;0;0;0;0;0;0;0;0
225;225;6,857142857;82,85714286;0;0;0;0;0;0;0;0
226;226;7;86,85714286;0;0;0;0;0;0;0;0
227;227;7,142857143;91,42857143;0;0;0;0;0;0;0;0
228;228;7,142857143;96,42857143;0;0;0;0;0;0;0;0
229;229;7,142857143;101,5714286;0;0;0;0;0;0;0;0
230;230;7;106,4285714;0;0;0;0;0;0;0;0
231;231;7,142857143;111,8571429;0;0;0;0;0;0;0;0
232;232;7,142857143;117,2857143;0;0;0;0;0;0;0;0
233;233;7,285714286;122,7142857;0;0;0;0;0;0;1;0
234;234;7,142857143;127,5714286;0;0;0;0;0;0;1;0
235;235;7;133,2857143;0;0;0;0;0;0;1;0
236;236;7;139;0;0;0;0;0;0;1;0
237;237;7,142857143;145;0;0;0;0;0;0;1;0
238;238;7,428571429;151;0;0;0;0;0;0;1;0
239;239;7,571428571;156,8571429;0;0;0;0;0;0;1;0
240;240;7,571428571;162,8571429;0;0;0;0;0;0;1;0
241;241;7,142857143;143,7142857;0;0;0;0;0;0;1;0
242;242;7,285714286;124,8571429;0;0;0;0;0;0;1;0
243;243;7,428571429;107,5714286;0;0;0;0;0;0;1;0
244;244;6,857142857;90,14285714;0;0;0;0;0;0;1;0
245;245;7,142857143;81,71428571;0;0;0;0;0;0;1;1
246;246;7;74,14285714;0;0;0;0;0;0;1;2
247;247;6,857142857;73,85714286;0;0;0;0;0;0;1;3
248;248;7;67;0;0;0;0;0;0;2;4
249;249;7;62,85714286;0;0;0;0;0;0;2;5
250;250;7,142857143;58,71428571;0;0;0;0;0;0;2;6
251;251;7;58;0;0;0;0;0;0;2;7
252;252;7,142857143;58;0;0;0;0;0;0;2;8
253;253;7;61,42857143;0;0;0;0;0;0;2;9
254;254;7;53,85714286;0;0;0;0;0;0;2;10
255;255;7,142857143;57,28571429;0;0;0;0;0;0;3;11
256;256;7,142857143;61;0;0;0;0;0;0;3;12
257;257;6,714285714;49,42857143;0;0;0;0;0;0;1;0
258;258;6,857142857;47,14285714;0;0;0;0;0;0;1;0
259;259;6,857142857;45,14285714;0;0;0;0;0;0;1;0
260;260;7;47,85714286;0;0;0;0;0;0;1;0
261;261;6,857142857;50,71428571;0;0;0;0;0;0;1;0
262;262;7;49,14285714;0;0;0;0;0;0;2;0
263;263;7,142857143;43,85714286;0;0;0;0;0;0;2;0
264;264;7;39,28571429;0;0;0;0;0;0;2;0
265;265;7,142857143;35;0;0;0;0;0;0;2;0
266;266;7,142857143;31;0;0;0;0;0;0;2;0
267;267;7,285714286;27,28571429;0;0;0;0;0;0;2;0
268;268;7,285714286;24,57142857;0;0;0;0;0;0;2;0
269;269;7,142857143;25,57142857;0;0;0;0;0;0;2;0
270;270;7,285714286;28;0;0;0;0;0;0;2;0
271;271;7,142857143;30,71428571;0;0;0;0;0;0;1;0
